"","UNIQUE_CARRIER","YEAR","MONTH","DAY_OF_MONTH","count","c_rate","cancel","lower","upper","date","airline"
"111","9E",2010,4,21,761,0.00131406044678055,1,3.32685766599727e-05,0.00729952244678689,"2010-4-21",NA
"112","9E",2010,4,22,766,0.00130548302872063,1,3.30514224375911e-05,0.00725201755598059,"2010-4-22",NA
"113","9E",2010,4,23,761,0.00525624178712221,4,0.00143395025359128,0.0134029622017983,"2010-4-23",NA
"114","9E",2010,4,24,541,0.0166358595194085,9,0.00763447035061116,0.031344346016142,"2010-4-24",NA
"115","9E",2010,4,25,718,0.00417827298050139,3,0.000862490583091735,0.0121617319513575,"2010-4-25",NA
"116","9E",2010,4,26,763,0,0,0,0.00482303602460632,"2010-4-26",NA
"117","9E",2010,4,27,763,0.00786369593709043,6,0.00289114662189216,0.0170368777790775,"2010-4-27",NA
"118","9E",2010,4,28,761,0.00657030223390276,5,0.00213669946959349,0.0152658124202503,"2010-4-28",NA
"119","9E",2010,4,29,766,0.00391644908616188,3,0.000808395333443457,0.0114025097994449,"2010-4-29",NA
"120","9E",2010,4,30,762,0.005249343832021,4,0.00143206606321444,0.0133854451208001,"2010-4-30",NA
"121","9E",2010,5,1,537,0.0260707635009311,14,0.0143248054182082,0.0433557343604468,"2010-5-1",NA
"122","9E",2010,5,2,729,0.0178326474622771,13,0.00952843712656326,0.0303013276676742,"2010-5-2",NA
"123","9E",2010,5,3,779,0.00898587933247754,7,0.0036202039960217,0.018426238529575,"2010-5-3",NA
"124","9E",2010,5,4,779,0.0179717586649551,14,0.00985927956413646,0.0299698703629823,"2010-5-4",NA
"125","9E",2010,5,5,777,0.00514800514800515,4,0.00140438591506531,0.0131280777776915,"2010-5-5",NA
"126","9E",2010,5,6,777,0.00514800514800515,4,0.00140438591506531,0.0131280777776915,"2010-5-6",NA
"127","9E",2010,5,7,777,0.0128700128700129,10,0.00618845665813739,0.0235407018206398,"2010-5-7",NA
"128","9E",2010,5,8,537,0.0204841713221601,11,0.0102689068352426,0.0363557429517661,"2010-5-8",NA
"129","9E",2010,5,9,731,0.012311901504788,9,0.00564481898771474,0.0232426893345338,"2010-5-9",NA
"130","9E",2010,5,10,776,0.00644329896907216,5,0.00209533380131532,0.0149719956551799,"2010-5-10",NA
"131","9E",2010,5,11,777,0.0167310167310167,13,0.00893786476974812,0.0284406191422518,"2010-5-11",NA
"132","9E",2010,5,12,777,0.0193050193050193,15,0.0108441343936332,0.0316410538128408,"2010-5-12",NA
"133","9E",2010,5,13,776,0.0257731958762887,20,0.0158124189772193,0.0395249589099792,"2010-5-13",NA
"134","9E",2010,5,14,776,0.029639175257732,23,0.0188795172771257,0.0441427638602934,"2010-5-14",NA
"135","9E",2010,5,15,540,0.0277777777777778,15,0.0156285689578102,0.0454018190958805,"2010-5-15",NA
"136","9E",2010,5,16,729,0.00960219478737997,7,0.00386904888157757,0.019683591156379,"2010-5-16",NA
"137","9E",2010,5,17,776,0.00515463917525773,4,0.00140619792486463,0.0131449273014904,"2010-5-17",NA
"138","9E",2010,5,18,777,0.00514800514800515,4,0.00140438591506531,0.0131280777776915,"2010-5-18",NA
"139","9E",2010,5,19,775,0.0103225806451613,8,0.00446679671907202,0.0202378271918063,"2010-5-19",NA
"140","9E",2010,5,20,776,0.0103092783505155,8,0.0044610273043123,0.0202118783709498,"2010-5-20",NA
"141","9E",2010,5,21,780,0.0282051282051282,22,0.0177585949162352,0.0423927809816589,"2010-5-21",NA
"142","9E",2010,5,22,542,0.014760147601476,8,0.00639335693468446,0.028875380542826,"2010-5-22",NA
"143","9E",2010,5,23,730,0.0301369863013699,22,0.0189810502011298,0.0452736538366801,"2010-5-23",NA
"144","9E",2010,5,24,774,0.0180878552971576,14,0.00992319231419858,0.03016227972074,"2010-5-24",NA
"145","9E",2010,5,25,777,0.00900900900900901,7,0.00362954161560125,0.0184734405991318,"2010-5-25",NA
"146","9E",2010,5,26,775,0.00774193548387097,6,0.00284629929229274,0.0167742848911129,"2010-5-26",NA
"147","9E",2010,5,27,777,0.0167310167310167,13,0.00893786476974812,0.0284406191422518,"2010-5-27",NA
"148","9E",2010,5,28,778,0.0475578406169666,37,0.0337028473387023,0.0649591926805173,"2010-5-28",NA
"149","9E",2010,5,29,538,0.0111524163568773,6,0.00410343265220769,0.0241151497556674,"2010-5-29",NA
"150","9E",2010,5,30,547,0.00914076782449726,5,0.00297445437205524,0.0212017396939708,"2010-5-30",NA
"151","9E",2010,5,31,727,0.0715268225584594,52,0.053877725065118,0.0927428229218619,"2010-5-31",NA
"152","9E",2010,6,1,783,0.0421455938697318,33,0.0291857058509709,0.0586814793027378,"2010-6-1",NA
"153","9E",2010,6,2,784,0.0408163265306122,32,0.0280829778772714,0.0571343073213427,"2010-6-2",NA
"154","9E",2010,6,3,786,0.0305343511450382,24,0.0196598804957128,0.0450934821428555,"2010-6-3",NA
"155","9E",2010,6,4,787,0.0152477763659466,12,0.00790291795807896,0.0264831899720133,"2010-6-4",NA
"156","9E",2010,6,5,541,0.0129390018484288,7,0.00521754801642782,0.0264766987561194,"2010-6-5",NA
"157","9E",2010,6,6,742,0.0363881401617251,27,0.0241144068810347,0.0525032162523235,"2010-6-6",NA
"158","9E",2010,6,7,787,0.0190597204574333,15,0.0107058474086285,0.0312415127569918,"2010-6-7",NA
"159","9E",2010,6,8,787,0.00635324015247776,5,0.0020660026655196,0.0147636180411359,"2010-6-8",NA
"160","9E",2010,6,9,778,0.0038560411311054,3,0.000795915417170945,0.0112272878145809,"2010-6-9",NA
"161","9E",2010,6,10,785,0.0140127388535032,11,0.00701531053671833,0.0249340710325047,"2010-6-10",NA
"162","9E",2010,6,11,791,0.02275600505689,18,0.0135411022263691,0.035726558721434,"2010-6-11",NA
"163","9E",2010,6,12,667,0.0239880059970015,16,0.0137719533884302,0.0386633122002262,"2010-6-12",NA
"164","9E",2010,6,13,750,0.0373333333333333,28,0.0249484599166726,0.053507058015964,"2010-6-13",NA
"165","9E",2010,6,14,787,0.0343074968233799,27,0.0227282281590071,0.0495248986301543,"2010-6-14",NA
"166","9E",2010,6,15,793,0.0353089533417402,28,0.0235883317048831,0.0506288202149962,"2010-6-15",NA
"167","9E",2010,6,16,795,0.0138364779874214,11,0.00692681533003858,0.0246221555199017,"2010-6-16",NA
"168","9E",2010,6,17,788,0.0177664974619289,14,0.00974628755639606,0.0296296491857059,"2010-6-17",NA
"169","9E",2010,6,18,788,0.0317258883248731,25,0.0206344131840837,0.0464790026791535,"2010-6-18",NA
"170","9E",2010,6,19,665,0.0210526315789474,14,0.0115563163744622,0.0350706684039745,"2010-6-19",NA
"171","9E",2010,6,20,755,0.00264900662251656,2,0.0003209681420836,0.00953607018814362,"2010-6-20",NA
"172","9E",2010,6,21,789,0.00760456273764259,6,0.00279570465194323,0.0164779765742559,"2010-6-21",NA
"173","9E",2010,6,22,792,0.00252525252525253,2,0.000305966234927957,0.00909204152030629,"2010-6-22",NA
"174","9E",2010,6,23,793,0.0365699873896595,29,0.0246257339455245,0.0521002949278329,"2010-6-23",NA
"175","9E",2010,6,24,786,0.0267175572519084,21,0.016612983368295,0.0405517612714695,"2010-6-24",NA
"176","9E",2010,6,25,788,0.0215736040609137,17,0.0126164411070914,0.0343172993559903,"2010-6-25",NA
"177","9E",2010,6,26,655,0.0244274809160305,16,0.0140254078548305,0.0393662018068301,"2010-6-26",NA
"178","9E",2010,6,27,750,0.076,57,0.058066938323287,0.0973482525386962,"2010-6-27",NA
"179","9E",2010,6,28,787,0.0508259212198221,40,0.0365555878143772,0.0685703386081822,"2010-6-28",NA
"180","9E",2010,6,29,787,0.0190597204574333,15,0.0107058474086285,0.0312415127569918,"2010-6-29",NA
"181","9E",2010,6,30,792,0.0227272727272727,18,0.013523935610711,0.0356817495222266,"2010-6-30",NA
"182","9E",2010,7,1,783,0.00893997445721584,7,0.00360167215530005,0.0183325543436468,"2010-7-1",NA
"183","9E",2010,7,2,795,0.0163522012578616,13,0.00873484538359837,0.027800440750154,"2010-7-2",NA
