"","UNIQUE_CARRIER","ORIGIN","DEST","count","c_rate","distance"
"194","9E","CLE","ATL",337,0.0207715133531157,119.181008902077
"195","9E","CLE","CVG",39,0,74.8974358974359
"196","9E","CLE","DTW",1547,0.0142210730446025,62.7007110536522
"197","9E","CLE","JFK",691,0.0506512301013025,113.921852387844
"198","9E","CLE","LGA",7,0,98
"199","9E","CLE","MEM",699,0.0200286123032904,127.467811158798
"200","9E","CLE","MSP",1841,0.0130363932645301,128.939163498099
"201","9E","CLT","ATL",170,0.0529411764705882,82.7411764705882
"202","9E","CLT","CVG",592,0.0219594594594595,90.9847972972973
"203","9E","CLT","DTW",92,0.0108695652173913,114.967391304348
"204","9E","CLT","JFK",362,0.069060773480663,122.187845303867
"205","9E","CLT","LGA",8,0,120.125
"206","9E","CLT","MEM",841,0.0380499405469679,111.614744351962
"207","9E","CLT","MSP",102,0.00980392156862745,169.519607843137
"208","9E","CLT","ORD",1,0,100
"209","9E","CMH","ATL",98,0.0612244897959184,102.989795918367
"210","9E","CMH","BOS",2,0,123.5
"211","9E","CMH","CVG",132,0.00757575757575758,51.9242424242424
"212","9E","CMH","DCA",1,0,77
"213","9E","CMH","DTW",848,0.0200471698113208,69.2735849056604
"214","9E","CMH","JFK",382,0.0732984293193717,123.44502617801
"215","9E","CMH","LGA",36,0.138888888888889,114.777777777778
"216","9E","CMH","MEM",542,0.025830258302583,106.859778597786
"217","9E","CMH","MSP",965,0.0134715025906736,126.053886010363
"218","9E","CMH","RDU",140,0.0428571428571429,83.4571428571429
"219","9E","CMI","DTW",278,0.0287769784172662,80
"220","9E","COU","MEM",827,0.0217654171704958,75.397823458283
"221","9E","CRW","ATL",47,0.0212765957446809,84.936170212766
"222","9E","CRW","CVG",1,0,60
"223","9E","CRW","DTW",768,0.01953125,79.15625
"224","9E","CVG","ATL",2,0,89.5
"225","9E","CVG","BDL",637,0.021978021978022,115.596546310832
"226","9E","CVG","BNA",310,0.0290322580645161,68.1387096774194
"227","9E","CVG","BOS",625,0.0144,125.464
"228","9E","CVG","BWI",633,0.0315955766192733,93.6998420221169
"229","9E","CVG","CLE",100,0.01,70.05
"230","9E","CVG","CLT",626,0.0111821086261981,88.35303514377
"231","9E","CVG","CMH",66,0,47.7727272727273
"232","9E","CVG","CRW",33,0,60
"233","9E","CVG","DCA",829,0.0422195416164053,86.0313630880579
"234","9E","CVG","DEN",134,0.0149253731343284,187.567164179104
"235","9E","CVG","DFW",327,0.00917431192660551,146.85626911315
"236","9E","CVG","DTW",1928,0.0150414937759336,76.5331950207469
"237","9E","CVG","EVV",1,0,58
"238","9E","CVG","EWR",867,0.0668973471741638,119.651672433679
"239","9E","CVG","FLL",108,0.00925925925925926,149.444444444444
"240","9E","CVG","FWA",242,0.0454545454545455,51.9338842975207
"241","9E","CVG","GRR",511,0.0117416829745597,66.9138943248532
"242","9E","CVG","GSO",89,0,76
"243","9E","CVG","GSP",193,0.0259067357512953,71.2124352331606
"244","9E","CVG","HTS",4,0,45
"245","9E","CVG","IAD",127,0,88.1102362204724
"246","9E","CVG","IAH",167,0.0119760479041916,153.191616766467
"247","9E","CVG","IND",285,0.0456140350877193,59.8561403508772
"248","9E","CVG","JAX",319,0.0156739811912226,108.971786833856
"249","9E","CVG","JFK",336,0.0803571428571429,126.372023809524
"250","9E","CVG","LEX",66,0,44.1818181818182
"251","9E","CVG","LGA",69,0.0434782608695652,119.739130434783
"252","9E","CVG","LIT",7,0.142857142857143,107
"253","9E","CVG","MCI",719,0.0250347705146036,111.105702364395
"254","9E","CVG","MCO",1,0,118
"255","9E","CVG","MDT",288,0.0243055555555556,83.1909722222222
"256","9E","CVG","MEM",902,0.0144124168514412,93.7383592017738
"257","9E","CVG","MKE",548,0.0291970802919708,83.0875912408759
"258","9E","CVG","MSN",332,0.0240963855421687,80.0451807228916
"259","9E","CVG","MSP",1903,0.0105097214923805,123.60063058329
"260","9E","CVG","MSY",314,0,127.143312101911
"261","9E","CVG","OMA",42,0,134.595238095238
"262","9E","CVG","ORD",1265,0.0545454545454545,77.7889328063241
"263","9E","CVG","ORF",89,0.0561797752808989,102.134831460674
"264","9E","CVG","PHL",983,0.0457782299084435,103.46998982706
"265","9E","CVG","PIT",576,0.015625,68.8888888888889
"266","9E","CVG","RDU",597,0.00837520938023451,83.5611390284757
"267","9E","CVG","RIC",322,0.0124223602484472,83.6770186335404
"268","9E","CVG","ROC",36,0.0555555555555556,99.1666666666667
"269","9E","CVG","RSW",35,0,140.6
"270","9E","CVG","SBN",345,0.0260869565217391,60.2028985507246
"271","9E","CVG","SDF",21,0.0476190476190476,51.2380952380952
"272","9E","CVG","STL",846,0.0153664302600473,81.6643026004728
"273","9E","CVG","SYR",14,0.0714285714285714,100.214285714286
"274","9E","CVG","TYS",311,0.0257234726688103,65.7909967845659
"275","9E","CVG","XNA",62,0.032258064516129,116
"276","9E","CWA","DTW",968,0.00929752066115703,87.3873966942149
"277","9E","CWA","MSP",1082,0.0175600739371534,61.9380776340111
"278","9E","DAB","ATL",12,0,90
"279","9E","DAL","ATL",3,0,126
"280","9E","DAL","MEM",1066,0.0300187617260788,88.0919324577861
"281","9E","DAY","ATL",242,0.0289256198347107,104.210743801653
"282","9E","DAY","DTW",1790,0.0145251396648045,69.459217877095
"283","9E","DAY","LGA",402,0.116915422885572,111.751243781095
"284","9E","DAY","MSP",1564,0.0127877237851662,119.783248081841
"285","9E","DCA","BDL",13,0.230769230769231,80
"286","9E","DCA","BOS",34,0.0588235294117647,101.235294117647
"287","9E","DCA","CMH",1,0,91
"288","9E","DCA","CVG",862,0.0440835266821346,100.631090487239
"289","9E","DCA","DTW",164,0.0548780487804878,103.292682926829
"290","9E","DCA","GRR",147,0.0476190476190476,110.367346938776
"291","9E","DCA","HSV",24,0,129.875
"292","9E","DCA","IND",211,0.0568720379146919,112.075829383886
"293","9E","DCA","JAX",13,0.230769230769231,130
"294","9E","DCA","JFK",1167,0.065981148243359,82.1876606683805
"295","9E","DCA","LEX",269,0.0223048327137546,96.542750929368
"296","9E","DCA","MEM",487,0.0328542094455852,141.357289527721
"297","9E","DCA","MSP",10,0,172.7
"298","9E","DCA","PLN",1,0,125
"299","9E","DCA","STL",10,0.2,145
"300","9E","DEN","CVG",134,0.0149253731343284,153.664179104478
"301","9E","DEN","MEM",146,0.0479452054794521,129.58904109589
"302","9E","DEN","SLC",42,0.0238095238095238,85.8095238095238
"303","9E","DFW","CVG",370,0.0162162162162162,129.97027027027
"304","9E","DFW","DTW",188,0.0319148936170213,160.957446808511
"305","9E","DFW","JFK",356,0.0393258426966292,213.935393258427
"306","9E","DFW","LGA",9,0,208
"307","9E","DFW","MEM",680,0.0220588235294118,93.3397058823529
"308","9E","DFW","MSP",362,0.00552486187845304,146.245856353591
"309","9E","DFW","SLC",244,0.0286885245901639,166.188524590164
"310","9E","DLH","DTW",1056,0.0170454545454545,112.910037878788
"311","9E","DLH","MSP",1936,0.0387396694214876,57.3610537190083
"312","9E","DSM","ATL",204,0.0245098039215686,124.289215686275
"313","9E","DSM","DTW",1823,0.0246845858475041,111.494788809654
"314","9E","DSM","LGA",92,0.0434782608695652,161.630434782609
"315","9E","DSM","MEM",883,0.0181200453001133,97.6296715741789
"316","9E","DSM","MSP",2352,0.016156462585034,68.4294217687075
"317","9E","DTW","ABE",1541,0.0201168072680078,91.8079169370539
"318","9E","DTW","ALB",2635,0.0212523719165085,96.1882352941176
"319","9E","DTW","ATL",4,0,125.75
"320","9E","DTW","ATW",2273,0.0211174659040915,84.759788825341
"321","9E","DTW","AUS",756,0.00396825396825397,195.134920634921
"322","9E","DTW","AVL",849,0.0235571260306243,98.4746760895171
"323","9E","DTW","AVP",1913,0.0203868269733403,86.4945112388918
"324","9E","DTW","AZO",2931,0.0351415899010577,52.4189696349369
"325","9E","DTW","BDL",615,0.016260162601626,105.507317073171
"326","9E","DTW","BGM",1838,0.0190424374319913,81.9080522306855
"327","9E","DTW","BGR",608,0.0148026315789474,126.087171052632
"328","9E","DTW","BHM",2025,0.0192592592592593,120.962469135802
"329","9E","DTW","BMI",1349,0.0185322461082283,84.3787991104522
"330","9E","DTW","BNA",873,0.0206185567010309,103.586483390607
"331","9E","DTW","BOS",53,0.0377358490566038,123.924528301887
"332","9E","DTW","BTV",1863,0.0246913580246914,103.651100375738
"333","9E","DTW","BUF",2126,0.0225776105362183,73.2262464722483
"334","9E","DTW","BWI",15,0,99.7333333333333
"335","9E","DTW","CAE",590,0.00677966101694915,113.21186440678
"336","9E","DTW","CAK",1881,0.0143540669856459,58.56884635832
"337","9E","DTW","CHA",178,0,100.595505617978
"338","9E","DTW","CHO",254,0.0393700787401575,88.3543307086614
"339","9E","DTW","CHS",915,0.0087431693989071,126.707103825137
"340","9E","DTW","CID",2084,0.0235124760076775,99.8056621880998
"341","9E","DTW","CLE",1498,0.014018691588785,55.8598130841121
"342","9E","DTW","CLT",93,0.010752688172043,111.645161290323
"343","9E","DTW","CMH",808,0.0198019801980198,61.9616336633663
"344","9E","DTW","CMI",277,0.0324909747292419,77.5415162454874
"345","9E","DTW","CRW",707,0.0212164073550212,77.9292786421499
"346","9E","DTW","CVG",1947,0.00667693888032871,73.7529532614278
"347","9E","DTW","CWA",968,0.00619834710743802,91.7551652892562
"348","9E","DTW","DAY",1791,0.00949190396426577,63.3724176437744
"349","9E","DTW","DCA",221,0.0452488687782805,90.4796380090498
"350","9E","DTW","DFW",281,0.0249110320284698,176.701067615658
"351","9E","DTW","DLH",1061,0.0160226201696513,117.718190386428
"352","9E","DTW","DSM",1811,0.02263942573164,112.872998343457
"353","9E","DTW","ELM",1689,0.0106571936056838,76.9810538780343
"354","9E","DTW","ERI",2276,0.0303163444639719,58.2025483304042
"355","9E","DTW","EVV",1338,0.0186846038863976,89.178624813154
"356","9E","DTW","EWR",399,0.0476190476190476,110.378446115288
"357","9E","DTW","FNT",2479,0.0157321500605083,43.1258572004841
"358","9E","DTW","FSD",469,0.0298507462686567,134.680170575693
"359","9E","DTW","FWA",2887,0.00900588846553516,54.8992033252511
"360","9E","DTW","GRB",2199,0.022737608003638,81.869031377899
"361","9E","DTW","GRR",1632,0.0147058823529412,53.7622549019608
"362","9E","DTW","GSO",999,0.017017017017017,104.016016016016
"363","9E","DTW","GSP",2086,0.0105465004793864,103.800575263663
"364","9E","DTW","HPN",957,0.0271682340647858,106.796238244514
"365","9E","DTW","HSV",840,0.0130952380952381,110.216666666667
"366","9E","DTW","IAD",1814,0.0242557883131202,95.4217199558986
"367","9E","DTW","IAH",137,0,182.299270072993
"368","9E","DTW","ICT",245,0.0122448979591837,149.636734693878
"369","9E","DTW","IND",2088,0.00862068965517241,73.9937739463602
"370","9E","DTW","ITH",1833,0.0272776868521549,82.5990180032733
"371","9E","DTW","JAN",404,0.0247524752475248,146.571782178218
"372","9E","DTW","JAX",307,0.00325732899022801,140.14657980456
"373","9E","DTW","JFK",753,0.0584329349269588,120.324037184595
